date,value,asset_key,asset_name
1992-01-01,175.276901245117,tea,Tea
1992-02-01,162.506301879883,tea,Tea
1992-03-01,165.436996459961,tea,Tea
1992-04-01,192.865097045898,tea,Tea
1992-05-01,211.216506958008,tea,Tea
1992-06-01,201.557098388672,tea,Tea
1992-07-01,206.409194946289,tea,Tea
1992-08-01,221.060592651367,tea,Tea
1992-09-01,221.012603759766,tea,Tea
1992-10-01,200.792007446289,tea,Tea
1992-11-01,203.638702392578,tea,Tea
1992-12-01,235.122497558594,tea,Tea
1993-01-01,239.494293212891,tea,Tea
1993-02-01,203.55549621582,tea,Tea
1993-03-01,190.477905273438,tea,Tea
1993-04-01,177.748901367188,tea,Tea
1993-05-01,172.858596801758,tea,Tea
1993-06-01,166.67170715332,tea,Tea
1993-07-01,165.194396972656,tea,Tea
1993-08-01,166.612197875977,tea,Tea
1993-09-01,180.02099609375,tea,Tea
1993-10-01,196.487197875977,tea,Tea
1993-11-01,182.199996948242,tea,Tea
1993-12-01,186.301193237305,tea,Tea
1994-01-01,164.453201293945,tea,Tea
1994-02-01,173.630004882813,tea,Tea
1994-03-01,186.495803833008,tea,Tea
1994-04-01,186.313995361328,tea,Tea
1994-05-01,183.95849609375,tea,Tea
1994-06-01,196.696594238281,tea,Tea
1994-07-01,181.782592773438,tea,Tea
1994-08-01,183.819305419922,tea,Tea
1994-09-01,201.20329284668,tea,Tea
1994-10-01,190.793395996094,tea,Tea
1994-11-01,178.322601318359,tea,Tea
1994-12-01,172.360504150391,tea,Tea
1995-01-01,163.558502197266,tea,Tea
1995-02-01,169.038696289063,tea,Tea
1995-03-01,172.093399047852,tea,Tea
1995-04-01,167.974197387695,tea,Tea
1995-05-01,164.388397216797,tea,Tea
1995-06-01,145.503295898438,tea,Tea
1995-07-01,143.370101928711,tea,Tea
1995-08-01,150.365493774414,tea,Tea
1995-09-01,163.389999389648,tea,Tea
1995-10-01,176.909896850586,tea,Tea
1995-11-01,173.618194580078,tea,Tea
1995-12-01,179.661895751953,tea,Tea
1996-01-01,174.415100097656,tea,Tea
1996-02-01,177.032806396484,tea,Tea
1996-03-01,168.659698486328,tea,Tea
1996-04-01,172.369506835938,tea,Tea
1996-05-01,176.124603271484,tea,Tea
1996-06-01,171.236801147461,tea,Tea
1996-07-01,160.174102783203,tea,Tea
1996-08-01,167.967102050781,tea,Tea
1996-09-01,187.380004882813,tea,Tea
1996-10-01,183.512603759766,tea,Tea
1996-11-01,189.371597290039,tea,Tea
1996-12-01,197.738998413086,tea,Tea
1997-01-01,189.356704711914,tea,Tea
1997-02-01,193.567306518555,tea,Tea
1997-03-01,213.18229675293,tea,Tea
1997-04-01,240.290496826172,tea,Tea
1997-05-01,252.762100219727,tea,Tea
1997-06-01,224.805099487305,tea,Tea
1997-07-01,244.76530456543,tea,Tea
1997-08-01,257.760894775391,tea,Tea
1997-09-01,247.528198242188,tea,Tea
1997-10-01,252.506500244141,tea,Tea
1997-11-01,264.69140625,tea,Tea
1997-12-01,265.051300048828,tea,Tea
1998-01-01,317.373107910156,tea,Tea
1998-02-01,329.131805419922,tea,Tea
1998-03-01,261.483489990234,tea,Tea
1998-04-01,234.060394287109,tea,Tea
1998-05-01,190.304901123047,tea,Tea
1998-06-01,218.146896362305,tea,Tea
1998-07-01,226.199996948242,tea,Tea
1998-08-01,237.75,tea,Tea
1998-09-01,225.25,tea,Tea
1998-10-01,209.800003051758,tea,Tea
1998-11-01,206.75,tea,Tea
1998-12-01,206.5,tea,Tea
1999-01-01,225.0,tea,Tea
1999-02-01,225.25,tea,Tea
1999-03-01,231.75,tea,Tea
1999-04-01,236.75,tea,Tea
1999-05-01,222.0,tea,Tea
1999-06-01,207.25,tea,Tea
1999-07-01,205.6,tea,Tea
1999-08-01,209.0,tea,Tea
1999-09-01,239.0,tea,Tea
1999-10-01,280.0,tea,Tea
1999-11-01,278.0,tea,Tea
1999-12-01,228.68,tea,Tea
2000-01-01,228.0,tea,Tea
2000-02-01,234.25,tea,Tea
2000-03-01,253.08,tea,Tea
